transition,transition_type,customers,avg_delta_revenue,avg_delta_categories,avg_delta_channels,avg_delta_discount,driver_summary,focus_country,focus_category,focus_channel,recommended_action,owner,kpi,next_14_days,impact_eur,play_type
Loyal -> Champions,upgrade,1777,92.62215376782078,0.6731160896130346,0.06568228105906314,0.026135217390523567,"category expansion, revenue lift, visit frequency lift",FR,Make Up,Store,Industrialize second-channel adoption in similar cohorts.,CRM + Omnichannel,Share of customers completing the winning transition,Replicate the trigger in the next campaign cycle and protect the post-upgrade experience.,164589.5672454175,Scale
Potential Loyalist -> Loyal,upgrade,2180,53.55678100263852,0.4445910290237467,0.03210202286719437,0.059020335904232515,"category expansion, revenue lift, visit frequency lift",FR,Make Up,Store,Industrialize second-channel adoption in similar cohorts.,CRM + Omnichannel,Share of customers completing the winning transition,Replicate the trigger in the next campaign cycle and protect the post-upgrade experience.,116753.78258575198,Scale
About to Sleep -> Recent,upgrade,737,106.39393487109905,0.6472184531886025,0.04613297150610583,0.13257013430115847,"revenue lift, promo intensity up",FR,Make Up,Store,Industrialize second-channel adoption in similar cohorts.,CRM + Omnichannel,Share of customers completing the winning transition,Replicate the trigger in the next campaign cycle and protect the post-upgrade experience.,78412.33,Scale
Need Attention -> Recent,upgrade,2188,35.01510948905109,0.23813868613138686,0.015054744525547446,0.017460532331039724,revenue lift,FR,Make Up,Store,Industrialize second-channel adoption in similar cohorts.,CRM + Omnichannel,Share of customers completing the winning transition,Replicate the trigger in the next campaign cycle and protect the post-upgrade experience.,76613.0595620438,Scale
Promising -> Promising,stable,627,-83.97687591240876,-0.35912408759124087,-0.033576642335766425,-0.09376111802134802,state changed with limited observable behavioral shift,FR,Fragrance,Store,Reopen breadth: add a new category or channel before the next visit window closes.,CRM,Stable share with higher value per customer,Prioritize save journeys in the next 14 days before the customer slips further.,52653.50119708029,Monitor
Promising -> Recent,upgrade,1305,-36.686773946360155,-0.2222222222222222,-0.006896551724137931,2146111891395.3984,state changed with limited observable behavioral shift,FR,Fragrance,Store,Protect the gain but stop relying on rising promo intensity.,CRM + Merchandising,Share of customers completing the winning transition,Replicate the trigger in the next campaign cycle and protect the post-upgrade experience.,47876.240000000005,Scale
Recent -> Champions,upgrade,413,100.19286746987952,0.45542168674698796,0.05301204819277108,-0.0008907753120130001,"category expansion, revenue lift, visit frequency lift",FR,Fragrance,Store,Industrialize second-channel adoption in similar cohorts.,CRM + Omnichannel,Share of customers completing the winning transition,Replicate the trigger in the next campaign cycle and protect the post-upgrade experience.,41379.65426506024,Scale
About to Sleep -> Need Attention,upgrade,2147,18.611448532836516,0.18304611085235212,0.007918025151374011,0.048273380370961426,revenue lift,FR,Make Up,Store,Industrialize second-channel adoption in similar cohorts.,CRM + Omnichannel,Share of customers completing the winning transition,Replicate the trigger in the next campaign cycle and protect the post-upgrade experience.,39958.78,Scale
About to Sleep -> Promising,upgrade,358,110.68930167597765,0.659217877094972,0.03910614525139665,0.13808782565432148,"category expansion, revenue lift, visit frequency lift",FR,Make Up,Store,Industrialize second-channel adoption in similar cohorts.,CRM + Omnichannel,Share of customers completing the winning transition,Replicate the trigger in the next campaign cycle and protect the post-upgrade experience.,39626.77,Scale
Potential Loyalist -> Recent,downgrade,1207,30.82792376317924,0.19870235198702352,0.0202757502027575,-0.01977621844014267,state changed with limited observable behavioral shift,FR,Make Up,Store,"Launch a save sequence now: reminder, routine, then selective offer.",CRM + Omnichannel,Downgrade rate reduction,Prioritize save journeys in the next 14 days before the customer slips further.,37209.30398215734,Repair
Recent -> Recent,stable,3729,-8.386951246910806,-0.02943158840709953,0.0008986744551786115,-0.016671776401713297,state changed with limited observable behavioral shift,FR,Make Up,Store,"Launch a save sequence now: reminder, routine, then selective offer.",CRM + Omnichannel,Stable share with higher value per customer,Prioritize save journeys in the next 14 days before the customer slips further.,31274.941199730398,Monitor
Need Attention -> Need Attention,stable,1735,-15.818924788135593,-0.1832627118644068,-0.0015889830508474577,-0.06662498157938745,state changed with limited observable behavioral shift,FR,Make Up,Store,Reopen breadth: add a new category or channel before the next visit window closes.,CRM,Stable share with higher value per customer,Prioritize save journeys in the next 14 days before the customer slips further.,27445.834507415253,Monitor
Champions -> Loyal,downgrade,1483,-17.89175591531756,-0.14757160647571607,-0.00809464508094645,-0.03182397218542017,state changed with limited observable behavioral shift,FR,Make Up,Store,Reopen breadth: add a new category or channel before the next visit window closes.,CRM,Downgrade rate reduction,Prioritize save journeys in the next 14 days before the customer slips further.,26533.474022415943,Repair
Recent -> Potential Loyalist,upgrade,1682,-14.689409011117613,-0.1240491515506144,-0.0017554125219426564,-0.06310106389071095,state changed with limited observable behavioral shift,FR,Make Up,Store,Lock the upgrade with loyalty and replenishment CRM.,CRM + Loyalty,Share of customers completing the winning transition,Replicate the trigger in the next campaign cycle and protect the post-upgrade experience.,24707.585956699826,Scale
Champions -> Champions,stable,3951,-5.106655270655271,0.01225071225071225,0.003247863247863248,-0.011861553082676534,state changed with limited observable behavioral shift,FR,Make Up,Store,"Launch a save sequence now: reminder, routine, then selective offer.",CRM + Omnichannel,Stable share with higher value per customer,Prioritize save journeys in the next 14 days before the customer slips further.,20176.394974358973,Monitor
Need Attention -> Potential Loyalist,upgrade,1512,12.07350819672131,0.11081967213114755,0.0045901639344262295,0.04587374720617041,state changed with limited observable behavioral shift,FR,Make Up,Store,Industrialize second-channel adoption in similar cohorts.,CRM + Omnichannel,Share of customers completing the winning transition,Replicate the trigger in the next campaign cycle and protect the post-upgrade experience.,18255.14439344262,Scale
Potential Loyalist -> Potential Loyalist,stable,4443,3.9863570806912842,0.04040780803182892,0.005843590699987567,-0.010800961911681131,state changed with limited observable behavioral shift,FR,Make Up,Store,"Launch a save sequence now: reminder, routine, then selective offer.",CRM + Omnichannel,Stable share with higher value per customer,Prioritize save journeys in the next 14 days before the customer slips further.,17711.384509511376,Monitor
About to Sleep -> Potential Loyalist,upgrade,740,19.532604026845636,0.18791946308724833,0.006711409395973154,-0.010561379085084673,state changed with limited observable behavioral shift,FR,Make Up,Store,Industrialize second-channel adoption in similar cohorts.,CRM + Omnichannel,Share of customers completing the winning transition,Replicate the trigger in the next campaign cycle and protect the post-upgrade experience.,14454.12697986577,Scale
Need Attention -> Promising,upgrade,630,22.74073015873016,0.173015873015873,0.015873015873015872,-0.025201172645632472,state changed with limited observable behavioral shift,FR,Fragrance,Store,Industrialize second-channel adoption in similar cohorts.,CRM + Omnichannel,Share of customers completing the winning transition,Replicate the trigger in the next campaign cycle and protect the post-upgrade experience.,14326.66,Scale
Need Attention -> Loyal,upgrade,126,104.89196850393701,0.6850393700787402,0.05511811023622047,0.10258748128042422,"category expansion, revenue lift, visit frequency lift",FR,Make Up,Store,Industrialize second-channel adoption in similar cohorts.,CRM + Omnichannel,Share of customers completing the winning transition,Replicate the trigger in the next campaign cycle and protect the post-upgrade experience.,13216.388031496062,Scale
Loyal -> Recent,downgrade,1491,-8.213346456692912,-0.045931758530183726,-0.007874015748031496,-0.00816993627967083,state changed with limited observable behavioral shift,FR,Make Up,Store,Reopen breadth: add a new category or channel before the next visit window closes.,CRM,Downgrade rate reduction,Prioritize save journeys in the next 14 days before the customer slips further.,12246.099566929133,Repair
Loyal -> Potential Loyalist,downgrade,1787,-6.826567083107006,-0.09560021727322107,-0.0010863661053775121,-0.049465324670472134,state changed with limited observable behavioral shift,FR,Make Up,Store,Reopen breadth: add a new category or channel before the next visit window closes.,CRM,Downgrade rate reduction,Prioritize save journeys in the next 14 days before the customer slips further.,12199.075377512221,Repair
Champions -> Recent,downgrade,233,-41.72728813559322,-0.08898305084745763,0.00847457627118644,0.008070783928165242,state changed with limited observable behavioral shift,FR,Fragrance,Store,"Launch a save sequence now: reminder, routine, then selective offer.",CRM + Omnichannel,Downgrade rate reduction,Prioritize save journeys in the next 14 days before the customer slips further.,9722.45813559322,Repair
About to Sleep -> About to Sleep,stable,2064,2.5578115230013396,0.00044662795891022776,0.0026797677534613666,-0.021409477691841056,state changed with limited observable behavioral shift,FR,Make Up,Store,"Launch a save sequence now: reminder, routine, then selective offer.",CRM + Omnichannel,Stable share with higher value per customer,Prioritize save journeys in the next 14 days before the customer slips further.,5279.322983474765,Monitor
At Risk -> At Risk,stable,1067,-4.905676369863014,0.0059931506849315065,0.0,0.015528913960495628,state changed with limited observable behavioral shift,FR,Make Up,Store,"Launch a save sequence now: reminder, routine, then selective offer.",CRM + Category,Stable share with higher value per customer,Prioritize save journeys in the next 14 days before the customer slips further.,5234.356686643836,Monitor
Recent -> Loyal,upgrade,3049,-1.5489253826530611,-0.015306122448979591,0.005420918367346939,0.001406807755368508,state changed with limited observable behavioral shift,FR,Make Up,Store,Industrialize second-channel adoption in similar cohorts.,CRM + Omnichannel,Share of customers completing the winning transition,Replicate the trigger in the next campaign cycle and protect the post-upgrade experience.,4722.6734917091835,Scale
Promising -> Potential Loyalist,upgrade,105,-43.71161904761905,-0.2857142857142857,-0.01904761904761905,-0.07761479900397894,state changed with limited observable behavioral shift,FR,Make Up,Store,Lock the upgrade with loyalty and replenishment CRM.,CRM + Loyalty,Share of customers completing the winning transition,Replicate the trigger in the next campaign cycle and protect the post-upgrade experience.,4589.72,Scale
Promising -> Champions,upgrade,105,43.30457142857142,0.3142857142857143,0.02857142857142857,0.03886786433775078,state changed with limited observable behavioral shift,FR,Fragrance,Store,Industrialize second-channel adoption in similar cohorts.,CRM + Omnichannel,Share of customers completing the winning transition,Replicate the trigger in the next campaign cycle and protect the post-upgrade experience.,4546.98,Scale
Recent -> Promising,downgrade,398,-11.34321608040201,-0.0678391959798995,0.002512562814070352,-0.037934826061124145,state changed with limited observable behavioral shift,FR,Fragrance,Store,"Launch a save sequence now: reminder, routine, then selective offer.",CRM + Omnichannel,Downgrade rate reduction,Prioritize save journeys in the next 14 days before the customer slips further.,4514.6,Repair
Recent -> Need Attention,downgrade,527,-7.269318181818182,-0.0928030303030303,0.00946969696969697,-0.06021424074487894,state changed with limited observable behavioral shift,FR,Make Up,Store,"Launch a save sequence now: reminder, routine, then selective offer.",CRM + Omnichannel,Downgrade rate reduction,Prioritize save journeys in the next 14 days before the customer slips further.,3830.9306818181817,Repair
Potential Loyalist -> Need Attention,downgrade,665,4.995979073243647,-0.01943198804185351,0.016442451420029897,-0.031830528094440806,state changed with limited observable behavioral shift,FR,Make Up,Store,"Launch a save sequence now: reminder, routine, then selective offer.",CRM + Omnichannel,Downgrade rate reduction,Prioritize save journeys in the next 14 days before the customer slips further.,3322.326083707025,Repair
Loyal -> Loyal,stable,6999,-0.3036582025677604,0.007817403708987161,0.0026248216833095576,-432210648974.8382,state changed with limited observable behavioral shift,FR,Make Up,Store,"Launch a save sequence now: reminder, routine, then selective offer.",CRM + Omnichannel,Stable share with higher value per customer,Prioritize save journeys in the next 14 days before the customer slips further.,2125.303759771755,Monitor
Recent -> About to Sleep,downgrade,174,-11.680747126436781,-0.005747126436781609,0.0,-0.2180067567457746,state changed with limited observable behavioral shift,FR,Make Up,Store,Reopen breadth: add a new category or channel before the next visit window closes.,CRM,Downgrade rate reduction,Prioritize save journeys in the next 14 days before the customer slips further.,2032.45,Repair
Need Attention -> About to Sleep,downgrade,337,-5.163590504451038,-0.04451038575667656,0.002967359050445104,-0.09663259347105703,state changed with limited observable behavioral shift,FR,Make Up,Store,"Launch a save sequence now: reminder, routine, then selective offer.",CRM + Omnichannel,Downgrade rate reduction,Prioritize save journeys in the next 14 days before the customer slips further.,1740.1299999999999,Repair
At Risk -> Need Attention,upgrade,399,-3.2328822055137847,-0.09774436090225563,0.005012531328320802,0.01486629686960235,state changed with limited observable behavioral shift,FR,Make Up,Store,Industrialize second-channel adoption in similar cohorts.,CRM + Omnichannel,Share of customers completing the winning transition,Replicate the trigger in the next campaign cycle and protect the post-upgrade experience.,1289.92,Scale
At Risk -> About to Sleep,upgrade,310,-4.045273311897106,-0.10610932475884244,0.006430868167202572,-0.016217807770310712,state changed with limited observable behavioral shift,FR,Make Up,Store,Industrialize second-channel adoption in similar cohorts.,CRM + Omnichannel,Share of customers completing the winning transition,Replicate the trigger in the next campaign cycle and protect the post-upgrade experience.,1254.0347266881029,Scale
Promising -> Loyal,upgrade,164,-7.168963414634146,-0.09146341463414634,0.0,0.03998599591999034,state changed with limited observable behavioral shift,FR,Fragrance,Store,Lock the upgrade with loyalty and replenishment CRM.,CRM + Loyalty,Share of customers completing the winning transition,Replicate the trigger in the next campaign cycle and protect the post-upgrade experience.,1175.71,Scale
Loyal -> Need Attention,downgrade,177,-5.817471910112359,0.028089887640449437,0.0,-0.06230894399881035,promo reliance down,FR,Make Up,Store,"Launch a save sequence now: reminder, routine, then selective offer.",CRM + Category,Downgrade rate reduction,Prioritize save journeys in the next 14 days before the customer slips further.,1029.6925280898874,Repair
Potential Loyalist -> About to Sleep,downgrade,277,2.7045161290322577,-0.017921146953405017,0.0035842293906810036,0.03931653342136355,state changed with limited observable behavioral shift,FR,Make Up,Store,"Launch a save sequence now: reminder, routine, then selective offer.",CRM + Omnichannel,Downgrade rate reduction,Prioritize save journeys in the next 14 days before the customer slips further.,749.1509677419353,Repair
At Risk -> Recent,upgrade,700,-0.32655714285714305,0.08142857142857143,0.008571428571428572,-0.00666194769355477,state changed with limited observable behavioral shift,FR,Fragrance,Store,Industrialize second-channel adoption in similar cohorts.,CRM + Omnichannel,Share of customers completing the winning transition,Replicate the trigger in the next campaign cycle and protect the post-upgrade experience.,228.59000000000015,Scale
